P_S6P46,nombre
16100500011,Café Grano Verde  - Brasilargo
16100500012,Café Grano Verde  - Buena vista
16100500013,Café Grano Verde  - Campeona
16100500008,Café Grano Verde  - Carreño
16100500005,Café Grano Verde  - Cavadich
16100500018,Café Grano Verde  - Chinchina
16100500028,Café Grano Verde  - Colon
16100500015,Café Grano Verde  - El Rosal
16100500000,Café Grano Verde  - Especial
16100500004,Café Grano Verde  - Geicha
16100500016,Café Grano Verde  - Laurina
16100500017,Café Grano Verde  - Limón
16100500030,Café Grano Verde  - Michel
16100500019,Café Grano Verde  - Sambrano
16100500003,Café Grano Verde  - San Bernardo
16100500007,Café Grano Verde  - San Fernando
16100500020,Café Grano Verde  - San Isidro
16100500006,Café Grano Verde  - San José
16100500031,Café Grano Verde  - San Juan
16100500029,Café Grano Verde  - San Juquin
16100500014,Café Grano Verde  - San Marcos
16100500010,Café Grano Verde  - San Martías
16100500021,Café Grano Verde  - San Pacho
16100500001,Café Grano Verde  - Tabi
16100500022,Café Grano Verde  - Tacuria
16100500023,Café Grano Verde  - Tatua
16100500024,Café Grano Verde  - Tekisic
16100500025,Café Grano Verde  - Tiaco
16100500026,Café Grano Verde  - Ticomoro
16100500027,Café Grano Verde  - Topo
16100100108,Cafe Megarojipe
16100800000,Café Puerto Rico
16100100101,Cafe Tipica - Pajarito- Nacional- Arabigo
16100100107,Café variedad Colombia
131926001,Caimo 
196104052,Cajeto- Garapay 
123501001,Calabazas y calabacines 
193002071,Calendula
196103041,Calla o Alcatraz
196104080,Camajon- Tuntun 
196105015,Cámbulo
196104054,Campano 
196106002,Camu camu
191999054,Cana Forrajera 
191999077,Canavalia 
196105040,"Candelero, guacamayo"
165501001,Canela
144301001,Canola 
196104092,Cansapion 
193002038,Caña agria
180201001,Caña de azúcar
196104060,Caña fistula
180201002,Caña panelera
196105008,Cañaguate
196104041,Caoba  
131999027,Capuli 
196104001,Caracoli 
131922001,Carambolo- Tiriguro- Arbol Del Pepino 
196105071,Carbonero
169299009,Cardamomo de Malabar
196104078,Carne Fresca- Espino 
196104002,Carreto- Cumula Amargo 
196103075,Cartuchos
196104076,Cascotillo 
196104034,Castano 
196105087,Caucho- Hevea 
191999069,Caupi 
193002068,Cayaponia
115201001,Cebada  
191999051,Cebada Forrajera
125301001,Cebolla cabezona 
125402001,Cebolla larga 
125401001,Cebolla Puerro 
196104037,Cedro 
196104077,Ceiba Tolua
116201001,Centeno 
135401001,Cereza 
196105093,Chachafruto 
131915001,Chamburu  
127001001,Champiñón 
196104008,Chicala- Quillotecto 
131999007,Chilacuan 
131914001,Chirimoya- Chirimorrinon 
135901001,Chontaduro 
132901001,"Cidra, poncil "
121903001,Cilantro 
121903002,Cilantro cimarrón 
196104066,Cipres 
135601001,Ciruela 
193002006,Citronela
196103002,Claveles
165601001,Clavos
196103045,Clivia
196103046,Cocculus
146001001,Coco
121201002,Col 
121301001,Coliflor 
196104029,Comino Crespo 
165901001,Conos de Lupulo
131999034,Copuazu 
131999006,Coronillo 
199299068,Corozo
149103001,Corozo o Noli
196103051,Crisantemo
196103047,Croscomia
196105060,Cuanguare
159905001,Cubios 
196104015,Cucharo 
196105099,"Cuchimbo, Jaboncillo"
196104010,"Cuipo, macando, ceiba bonga"
129099002,Culantro 
131903001,Curuba 
123902001,Cuya 
196103048,Cymbidium
129099001,Dale-Dale 
196103049,Dalia
131401001,Datil 
196103050,Delphinium o pelícano 
196104050,Dinde- Mora 
196105001,"Diomate, quebrancho"
196105014,"Dividivi de tierra fría, guarango"
196103073,Dondiego de día o Bella de día o Campanilla 
196104093,Dormidero- Guavo - Coma- Huayo  
196105041,Draco - Dragon - Sangregado 
131999022,Droncella- Groncella 
135501001,Durazno 
196103053,Eryngium o apio de monte 
121101001,Esparrago 
121501001,Espinaca 
196103010,Estátice 
169299012,Estevia 
129003001,Estragón 
196103052,Estrella de Belén 
192910001,Estropajo
196104018,Eucalipto 
196103088,Eucalipto Baby Blue
131907001,Feijoa 
192901001,Fique
169201001,Flor de jamaica 
134301003,Frambuesa 
134401001,Fresa 
196103054,Fressia
191999056,Fríjol
124901001,Garbanzo verde 
196103011,Geranio - Pelargonium grandiflorum.
196103055,Gerbera o Margarita Africana
196103057,Ginger 
196103056,Girasol
196103008,Gladiolo
131999028,Granada 
131917001,Granadilla 
196103085,Grass Lily
134100000,Grosellas 
196104083,Guacamayo 
131999012,Guacimo 
131999023,Guacure- Umari 
196104046,Guadua 
196105082,Guaimaro - Brosimum alicastrum
196104005,Gualanday  
131999013,Guamilla 
131924001,Guamo 
196105073,Guamo bejuco
131902001,Guanabana 
131999037,Guanabanillo- Caimitillo 
131902002,Guanabanitaepuy- Maguey 
131902003,Guanacona 
191999066,Guandul 
196105114,Guarana
199299127,Guarumo
196105101,Guasimo
129001001,Guatila 
131901001,Guayaba 
196104088,Guayabete 
196104007,Guayacan rosado o Flor Morada -Tabebuia rosea.
131918001,Gulupa 
196103086,Gypsofila
124903000,Haba verde
121901001,Habichuela 
196103084,Helecho
196103058,Heliconias/Musas o Heliconia o Platanera
193002002,Hierbabuena 
131501001,Higo 
144901001,Higuerilla
196104071,Higueron  
193002009,Hinojo 
131999014,Hombre Solo 
196103059,Hortensia o Hydrangea
9999999901,Huerta Casera
196104067,Ibapichuna 
159907001,Ibias 
131999035,Icaco o Caco 
131999008,Inchi- Tacay 
196104013,India Desnuda- Palo Mulato 
193002042,Jatrofa-TuaTua
165701001,Jengibre 
131999043,Jobo 
169299010,Jojoba - Simmonsdia chinensis
196104064,Juansoco 
131999004,Lata Espinosa 
196104033,Laurel Amarillo
196104082,Laurol 
191999090,Lechero o Lechoso 
121401001,Lechuga 
199299027,Lengua de vaca
124902001,Lenteja 
196103061,"Liatris, Liátride "
132202001,Lima 
132201001,Limón
193002011,Limonaria 
193002070,Limoncillo
192902001,Lino en rama o enriado - Linum usitatissimum
196103012,Lirio
196103062,Lisianthus 
131904001,Lulo 
169299003,Maca 
137901001,Macadamia 
196104081,Macano 
196105052,Machare
131999011,Madrono 
159906002,Mafafa 
112201002,Maíz Amarillo 
112201001,Maíz Blanco 
191999049,Maiz Forrajero 
159906001,Malanga  
193002046,Malva 
135903001,Mamey
135902001,Mamoncillo 
149999001,Manaca - Euterpe precatoria
132401001,Mandarina 
196104062,Mangle Zaragoza 
131601001,Mango 
131602001,Mangostino 
142201001,Maní 
191999065,Mani Forrajero 
131999005,Mano De Tigre 
135101001,Manzana 
193002012,Manzanilla 
196105053,"Manzano, cariseco"
159301004,Mapuey 
196104089,Maraco 
131905001,Maracuya 
191999103,Maralfalfa 
137201001,Marañon- Merey- Caju 
129099006,Maravilla 
196103063,Margarita 
191999043,Matarraton 
131999003,Mavaco 
196104099,Melina-Gmelina Arborea
122901001,Melón 
193002048,Menta 
118201001,Mijo 
131999018,Milpesillo 
325001000,Mimbre
196103064,Mini clavel 
131923002,Molinillo 
196103065,Molucela o campana de Irlanda 
196104075,Mora 
134301001,Mora Andina 
191999076,Morera 
131999041,Moriche 
196105115,Moringa
196104073,Motilon 
196104063,Muneco 
199299004,Nabo
196105005,"Nacedera, quiebra barriga"
132301002,Naranja
196103066,Nardos
196104079,Nipi 
131923001,Nispero 
196104096,Nocuito- Aceituno 
196104012,Nogal - Mo- Moho 
193002051,Noni 
137701001,Nuez De Brasil 
159301001,Ñame 
196105055,Ocotea
129099007,Okra 
145001001,Olivo
169299001,Orégano
196105072,"Orejero, carito"
196103003,Orquídeas
193002060,Ortiga 
9999999903,Otro permanente
196104094,Pachuva- Pona 
196104072,Paco 
199299007,Paico
149102001,Palma africana
196103030,Palma amarga
196103013,Palma Areca 
169299006,Palma de vino
192908001,Palma Iraca
196103089,Palma Robelina
196104059,Palo Santo- Carana 
196104095,Palodearco  
151003001,Papa china
151001001,Papas 
151002002,Papas criollas 
131701001,Papaya 
131919001,Papayuela 
199299072,Pata de vaca
149999002,Patabá -Jessenia batau
131999021,Patinoa Almirajo 
196104025,Peine Mono 
123201001,Pepino 
135201001,Pera 
129004001,Perejil 
196104090,Pescador 
123102001,Pimentón  
165101001,Pimienta
196105112,Pimiento 
196104044,Pino
131921001,Pinuela 
131801001,Piña
196104055,Pionía 
131911001,Pitahaya 
196103023,Platanillo
131301001,Platano 
193002003,Poleo 
196105034,Pomarroso 
131920001,Pomarroso- Manzanita De Rosa 
132101001,Pomelo 
196103004,Pompones 
196103024,"Pronto alivio, juanilama, hierba negra"
119002001,Quinua 
125902001,Rabano 
125901001,Remolacha 
121201003,Repollitas de bruselas 
121201001,Repollo 
196104051,Roble 
193002004,Romero 
196103001,Rosas
159903001,Ruba - Ulluko 
193002015,Ruda 
196103083,Rusco o Ruscus (follaje)
193002026,Sabila 
149999003,Sacha Inchi
159908001,Sagu
196104042,Sajo 
193002005,Salvia 
196104049,Saman 
196105081,"Sande, vaco, Perillo, Lechero"
122101001,Sandía - Patilla
199299090,Santa maría
193002055,Santa María  
196105067,Sauce- Sauce Colorado 
193002064,Sauco
129099004,Sidra 
196105059,Siete cueros
196103069,Snapdragon
141201001,Soja (Soya)
114201001,Sorgo 
191999053,Sorgo Forrajero 
196103077,Stanhopea-Torito
196103080,Strawflower
193002065,Tabaco 
196105047,"Tachuelo, Negrillo, Granadillo"
196104100,Tagua
131909001,Tamarindo- Magyi- Chita 
162001001,Te (Verde-Negro)
196104053,Teca 
196105037,"Tibar, tobo"
193002016,Tilo
123401001,Tomate 
131910001,Tomate De Arbol 
169299004,Tomillo 
193002041,Toronjil
199299130,Totumo
191999044,Trébol blanco
196103090,Tree Fern
111201001,Trigo en grano  
196103070,Tulipan o Tulipanes Botanicos o Tulipanes Darw
131999038,Turmademico 
131912001,Uchuva 
131999016,Ucuye 
196106001,Ukuki
199299017,Uña de gato
196105090,Urapan 
133001001,Uva 
131999024,Uva Caimarona- Cocura 
165801001,Vainilla 
196105018,Vainillo 
193002062,Valeriana 
196105062,Vara santa
159908000,Yacon
19300202501,"Yage, Yocoo, Turuca, Yoco-Yoco"
131999039,Yapura 
199299128,Yarumo
163001001,Yerba Mate
196104047,Yopo 
159201001,Yuca 
125101001,Zanahoria 
123502002,Zapallo 
196104014,Zapan- Palo Del Brasil 
131916001,Zapote - Chupa Chupa 
134301004,Zarzamora 
193002017,Zarzaparrilla 
193002058,Flor amarillo
9999999901,Huerta Casera
9999999902,Otro cultivo transitorio
9999999906,Pasto Natural
9999999907,Pasto Sembrado
9999999908,Barbecho
98000000001,Otros cítricos
98000000002,Otras aromáticas
99000000001,Otros agroindustriales
99000000002,Aromáticas
99000000003,Otras flores
99000000004,Otros forestales
99000000005,Otras frutas
99000000006,Otras hortalizas
99000000007,Otros tubérculos
